Data,Venit (pe zi)
20.12.2018,352
17.11.2017,827
16.08.2019,352
21.07.2018,690
06.04.2016,402
17.07.2017,1100
03.10.2016,559
17.03.2017,888
28.12.2017,1338
13.07.2019,515
22.04.2016,479
18.03.2018,710
25.05.2018,743
19.05.2019,397
18.06.2018,1294
15.04.2016,1311
13.02.2016,1041
20.04.2017,537
09.04.2016,398
12.07.2017,666
29.07.2018,795
05.08.2019,338
30.07.2017,1188
15.04.2019,872
22.07.2018,597
21.08.2017,1072
09.01.2019,823
03.01.2016,1082
30.07.2019,926
04.12.2019,947
01.12.2018,445
19.06.2018,1021
16.11.2018,995
13.03.2018,823
22.05.2017,1021
15.02.2018,1071
04.08.2016,1065
15.08.2017,1118
10.03.2019,494
31.10.2017,1394
04.04.2018,272
16.04.2016,625
12.10.2019,797
11.09.2018,348
12.10.2016,635
02.08.2017,656
26.06.2019,520
19.09.2017,503
17.09.2018,835
18.05.2016,696
06.01.2019,1203
15.08.2019,833
06.03.2019,1245
26.09.2019,1097
12.12.2017,1045
08.08.2019,499
05.03.2017,1129
27.08.2017,528
23.03.2019,287
26.05.2018,994
01.02.2017,1250
02.11.2019,563
03.04.2016,924
13.10.2017,279
04.11.2018,753
08.11.2017,847
02.02.2017,1055
24.12.2016,1384
08.04.2018,1148
31.07.2018,1381
11.10.2019,1329
07.11.2019,1103
07.08.2016,1318
25.12.2019,1130
14.10.2016,339
19.01.2018,433
31.12.2017,391
16.09.2017,663
28.01.2017,1335
17.10.2018,247
09.08.2018,802
30.04.2017,1106
30.08.2016,949
09.10.2019,650
05.03.2018,1261
24.06.2016,863
09.12.2017,880
29.09.2017,483
22.01.2018,1134
23.06.2019,479
03.03.2018,758
18.03.2016,1344
06.10.2018,1133
15.09.2017,409
25.05.2019,439
16.08.2016,741
06.01.2016,690
22.06.2017,544
28.08.2018,240
13.08.2017,494
24.09.2018,767
05.03.2018,240
22.09.2018,1162
10.07.2017,1222
02.07.2017,1251
28.05.2019,301
22.08.2018,1131
26.09.2018,880
29.03.2018,698
20.08.2016,1000
05.02.2017,1142
03.11.2019,923
04.07.2016,1098
30.04.2018,1270
02.12.2019,883
01.01.2016,390
29.12.2016,1288
30.09.2017,425
05.06.2018,629
31.01.2019,990
18.03.2016,1070
10.09.2016,792
06.12.2016,413
01.04.2018,1048
26.08.2018,1082
21.07.2016,912
30.05.2019,1158
16.01.2016,691
20.01.2018,968
14.07.2017,907
29.12.2016,631
09.01.2019,757
17.09.2019,666
28.10.2019,1376
25.03.2016,1216
23.10.2017,1206
04.05.2017,296
12.01.2016,386
18.07.2017,1208
12.12.2018,932
09.12.2019,948
14.04.2017,430
04.03.2017,849
16.06.2017,708
31.12.2018,682
08.02.2019,516
01.01.2018,281
03.11.2016,262
24.08.2016,1204
06.12.2019,483
10.03.2016,707
31.10.2019,669
30.04.2017,1109
02.01.2019,618
26.09.2016,1398
14.01.2019,1275
28.10.2019,788
18.12.2019,713
31.01.2018,1284
19.06.2018,1383
01.01.2018,1106
02.01.2017,277
15.01.2016,370
26.12.2016,830
05.06.2016,922
12.06.2018,992
23.10.2016,1133
25.09.2018,919
29.01.2016,751
23.03.2017,1228
26.04.2017,755
24.05.2017,359
15.05.2018,480
21.08.2019,735
01.08.2018,274
26.06.2016,574
12.01.2019,1329
30.06.2018,535
04.10.2019,1296
